,Title,Published_date,Views,Likes,Month
0,Live Day 4- Advance Statistics With Python In Data Science,2022-01-26,9061,885,Jan
1,Tutorial 8- Discussing All Types Of Joins -MySQL Complete Playlist,2022-01-26,1,28,Jan
2,Vision Of OneNeuron Platform- How We Are Solving All Your Problems?,2022-01-25,7556,291,Jan
3,Live Day 3- Intermediate Statistics With Python In Data Science,2022-01-24,19987,1316,Jan
4,Finish Work Faster with Acer Nitro 5 equipped with NVIDIA GeForce RTX 3060,2022-01-23,105247,975,Jan
5,Live Day 2- Basic To Intermediate Statistics,2022-01-23,18648,1691,Jan
6,Important Components In A Drone,2022-01-23,3651,134,Jan
7,Live Day 1- Introduction To statistics In Data Science,2022-01-22,48039,3253,Jan
8,Live Stats For Data ScienceCommunity Sessions Announcement - 7 days Session,2022-01-21,4717,346,Jan
9,I Searched Myself In Google And Youtube And The Suggestions Is 😍😍😍😍,2022-01-21,7880,255,Jan
10,Decrypting Web 3.0,2022-01-21,5492,246,Jan
11,Tutorial 7- Interview Preparation MySql Views-MySQL Complete Playlist,2022-01-20,3613,117,Jan
12,We Use Stats Everywhere!!,2022-01-20,5285,147,Jan
13,Smartphone Controlled RC Car Using Arduino #shorts,2022-01-19,5177,104,Jan
14,iNeuron New Office Tour 2022,2022-01-19,25496,1201,Jan
15,Tutorial 6- Indexing In MySQL-MySQL Complete Playlist,2022-01-18,4651,97,Jan
16,"Tutorial 5- Primary Key, Foreign Key, Check And Default Constraints-MySQL Complete Playlist",2022-01-17,4609,134,Jan
17,"Raspberry Pi Installation, Set Up And Object Detection Application- AI In Hardwares",2022-01-17,31578,307,Jan
18,Tutorial 4- SQL Constraints Part1 - My SQL Complete Playlist,2022-01-16,6721,163,Jan
19,Designing Drones For Programming,2022-01-16,6729,224,Jan
20,AI In Hardware,2022-01-16,228481,1136,Jan
21,My 5 Developer And Entrepreneur Goals In 2022,2022-01-15,4788,176,Jan
22,Live Q&A Upcoming Courses In OneNeuron- Ask Anything,2022-01-14,9352,451,Jan
23,Road From 0-500K Subscribers-Special Video,2022-01-14,2846,168,Jan
24,"Covariance,Pearson Correlation And Spearman Correlation Coefficient With Real World Examples",2022-01-13,4906,139,Jan
25,All The Job Offers That I Had In My Career,2022-01-13,16203,562,Jan
26,"Tutorial 3-MYSQL NULL Values, UPDATE,DELETE,ALTER Query-Complete MySQL Tutorial",2022-01-12,5550,185,Jan
27,Complete Roadmap For Becoming A Blockchain Developer In 2022,2022-01-11,403735,1685,Jan
28,Tutorial 2-Create and Drop Database and Table-Complete MySQL Tutorial-,2022-01-10,14257,523,Jan
29,Experience Metaverse With These Platforms- What Is Metaverse?-Blockchain,2022-01-09,7169,236,Jan
30,What Recruiters Are Looking From Freshers And College Students For Jobs?,2022-01-08,12639,621,Jan
31,Updated Skills For Data Science Based On Experience In 2022,2022-01-07,22572,908,Jan
32,RoadMap With Minimal Skills To Become Data Analyst In 2022,2022-01-06,209095,3132,Jan
33,@GitHub Sent Me This Gift- Github Star Awards⭐⭐⭐⭐,2022-01-05,9760,394,Jan
34,Learning Data Science In 2022- Step By Step Plan,2022-01-04,289186,3650,Jan
35,Technology That Can Create An Impact In 2022,2022-01-02,15982,591,Jan
36,My YouTube Channel 2021 Rewind,2021-12-31,6883,240,Dec
37,Learn How to Set Up Goals Like A Pro In 2022,2021-12-30,9002,461,Dec
38,How Much Did I Earn From YouTube In 2021,2021-12-29,24955,1179,Dec
39,Why Everybody Should Code In 2022,2021-12-28,12822,599,Dec
40,Planning To Change My Profession- From Data Scientist to Tik Tok Star #shorts,2021-12-23,59986,1642,Dec
41,iNeuron Projectathon 2021 Winner Announcement- Prize Money 2 Lakhs Rs INR,2021-12-23,9121,211,Dec
42,What Is Smart Contract In Ethereum Blockchain?,2021-12-22,7091,201,Dec
43,What is Web 3.0?,2021-12-21,17214,512,Dec
44,What Is NFT In Blockchain?,2021-12-20,9329,288,Dec
45,Live Q&A One Neuron Platform- Ask Anything,2021-12-19,7837,476,Dec
46,Does OneNeuron Include Full Stack Data Scientist Course?,2021-12-19,18766,532,Dec
47,My Speech-OneNeuron OTT Platform Launch,2021-12-18,21153,570,Dec
48,Roles And Responsibilities Of Devops Engineer- Highest Paid Salary,2021-12-17,9997,300,Dec
49,Lifetime Subscription Offer Of OneNeuron Platform Till Jan-15-2022,2021-12-15,29476,1084,Dec
50,LIVE One Neuron OTT Platform Launch Event,2021-12-11,18143,509,Dec
51,OTT Platform For Education OneNeuron- Education As A Service,2021-12-11,717827,857,Dec
52,Roles And Responsibilities Of An AI Engineer,2021-12-07,9716,317,Dec
53,Tutorial on Automated Machine Learning using MLBox,2021-12-05,14953,473,Dec
54,Companies That Has Regular Job Openings For Data Science,2021-12-03,27611,1160,Dec
55,Face Matching Application Using Deep Learning End to End Implementation,2021-12-02,16005,654,Dec
56,3 Ways To Efficiently Increase Your Salary In Data Science Job Switch,2021-12-01,9199,412,Dec
57,iNeuron Full Stack Data Science Course With Job Guarantee,2021-11-25,16755,392,Nov
58,The Best Book For Learning & Get Your Basics Strong In Data Science,2021-11-23,30438,1162,Nov
59,This Is The Perfect Resume For Data Science Role,2021-11-21,44841,1312,Nov
60,Skills Based On Experience For Data Science Roles,2021-11-20,19966,588,Nov
61,Day 3- Final Results Announcement- KIET Hackathon,2021-11-19,8310,222,Nov
62,Day 2- 24 Hours Hackathon Competition Vlog At KIET,2021-11-18,8996,262,Nov
63,Day 1-AI and Machine Learning Hackathon Workshop For KIET,2021-11-16,18116,506,Nov
64,Trailer- Ineuron First College 24 hours Hackathon 2021 At @KIET Kakinada,2021-11-15,14022,456,Nov
65,Is This An Efficient Way To Handle 90 Days Notice Period?,2021-11-08,10862,304,Nov
66,Sunday Live Resume Review Session,2021-11-07,8334,437,Nov
67,Live Resume Reviews Session Announcent,2021-11-07,3550,129,Nov
68,Create Your Custom Dataset Using Faker Library,2021-11-07,4196,177,Nov
69,INEURON DIWALI CELEBRATION VIDEO,2021-11-06,16107,529,Nov
70,Suggest Me Some Ideas Give Aways,2021-11-04,3002,143,Nov
71,Python – Different Ways To Import Module From Different Directory,2021-11-03,4747,143,Nov
72,"Tutorial 3- What is Blockchain Technology, and How Does It Work?",2021-11-02,3909,156,Nov
73,Last Moment Interview Preparation In Data Science,2021-11-02,6625,350,Nov
74,Why Sample Variance is Divided by n-1,2021-11-01,5673,256,Nov
75,Reasons Why Your Resume May Not Get Selected?,2021-11-01,11610,412,Nov
76,Benefits And Perks Of Working As A Data Scientist,2021-10-31,12477,387,Oct
77,Story Of Bappy- Successful Career Transition From Fresher To Freelancing Data Scientist,2021-10-28,8488,240,Oct
78,About Demystify AI and OpenVINO™ Toolkit,2021-10-27,2525,73,Oct
79,Checking My Data Science Resume Score?,2021-10-26,11990,254,Oct
80,Intel AI Global Impact Festival,2021-10-25,5497,216,Oct
81,Learn From These Experienced Data Scientist Resumes,2021-10-24,56643,733,Oct
82,Better Salary Or Better Work? Which One Would You Prefer AS Fresher Or Experienced?,2021-10-23,5036,239,Oct
83,Few Important Pointers For Preparing Fresher Data Science Resumes,2021-10-22,14584,401,Oct
84,iNeuron Projectathon 2021- Win Amazing Cash Rewards💰💰💰💰,2021-10-21,7591,373,Oct
85,What Can You Learn From Internships?🤩🤩🤩🤩,2021-10-21,7890,413,Oct
86,What We Can Learn From These Resumes For Data Science?,2021-10-20,13424,305,Oct
87,How to Install Ubuntu in Windows 10 with WSL2-Windows Subsystem for Linux,2021-10-19,2360,53,Oct
88,Complete Implementation Of Perceptron In Deep Learning Using Python From Scratch,2021-10-19,5130,110,Oct
89,Implementation Of Perceptron In Deep Learning Using Python From Scratch- Part 1- Ft: Sunny,2021-10-18,7176,194,Oct
90,Automated Python Code Generation with Mito,2021-10-17,6576,280,Oct
91,Complete Feature Engineering And EDA In Data Science in 31 Videos,2021-10-17,5125,256,Oct
92,Freshers Vs Experience Resume Review For Data Science Role,2021-10-16,13739,379,Oct
93,Tutorial 2- Revolutionary Applications Of Blockchain Technology,2021-10-15,7912,239,Oct
94,Meet iNeuron Team,2021-10-14,43543,1469,Oct
95,How Vishwa Made A Successful Career From A Fresher To Data Science,2021-10-13,12251,318,Oct
96,Tutorial 1- What Is Blockchain?,2021-10-12,16874,711,Oct
97,Reviewing Mechanical Engineer Resume For Data Science Role,2021-10-11,21262,477,Oct
98,Remote Work Vs Working From Office- Which Is Good For Longer Run?,2021-10-11,3972,160,Oct
99,Why Companies Hire Less Data Scientist In College Placements? For 2nd Tier And 3rd Tier,2021-10-10,12125,337,Oct
100,Live Q&A- Ask Anything Related Data Science,2021-10-09,7444,423,Oct
101,What’s New In Python 3.10? Discussing All The New Features,2021-10-08,7978,318,Oct
102,What Role Should You Select In Analytics Industry? Common Q&A,2021-10-07,6273,223,Oct
103,How To Install Ubuntu Linux In Windows- ft: Paul iNeuron,2021-10-04,14944,138,Oct
104,Perform Easy EDA And Generate Python Using Mito,2021-10-03,5565,213,Oct
105,"20+Jobs Opening In Ineuron For Data Scientist,Data Analyst,Cloud Engineer For Freshers- Just Apply",2021-10-03,19124,655,Oct
106,FLAML - Fast and Lightweight AutoML Library By Microsoft,2021-10-01,6783,322,Oct
107,iNeuron New Office Vlog In Bangalore,2021-09-28,29325,1196,Sep
108,Mito Turns Your Data Visualizations into Code,2021-09-27,5588,185,Sep
109,Time Series Forecasting Made Easy Using Dart Library - Perform Multivariate Forecasting In No Time,2021-09-25,19189,775,Sep
